id,name,host_id,host_name,city,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,review_scores_rating,accommodates,bathrooms,bedrooms,beds,property_type
32977426,"Lovely villa - A piece of paradise, near the beach",44254579,Maud,Cape Town,Ward 23,-33.80322,18.48158,Entire home/apt,1804,2,0,,,2,0,,10,4,5,6,Villa
32977637,"Sunny ""lock up and go"" family home in Claremont",45355703,Bruce,Cape Town,Ward 58,-33.98193,18.48506,Entire home/apt,1496,2,0,,,1,25,,6,3,3,3,House
32978966,Gem in the Helderberg,96661818,Soritha,Cape Town,Ward 84,-34.09275,18.87024,Entire home/apt,2503,3,0,,,1,11,,6,4.5,3,4,House
32981903,"Danish Style Holiday Home, Hout Bay/Cape Town",50103773,Jens,Cape Town,Ward 74,-34.04395,18.36196,Entire home/apt,909,2,0,,,1,270,,4,1,2,3,Apartment
32984166,Beautiful Spacious Retreat,247273144,Dave & Siyoli,Cape Town,Ward 71,-34.05668,18.44374,Private room,895,1,0,,,1,35,,3,1.5,1,2,House
32985122,A cosy Home away from Home,248246680,Marilyn,Cape Town,Ward 23,-33.79774,18.47581,Private room,252,1,2,4/8/19,2,1,263,60,3,1,1,3,Guest suite
32986021,BREATHTAKING VISTA VIEWS,90838001,Natalie,Cape Town,Ward 74,-34.04589,18.36597,Entire home/apt,7496,2,0,,,1,73,,8,5.5,4,6,Villa
32986614,"Cozy, bachelor apartment attached to  main house.",248258992,Rochelle,Cape Town,Ward 4,-33.85038,18.51114,Entire home/apt,420,1,3,3/23/19,2.81,1,131,93,2,1,0,1,Guest suite
32987385,Stunning City/Harbour SEA Views In Cape Town,29426065,Josh,Cape Town,Ward 115,-33.92562,18.44666,Entire home/apt,699,1,2,4/8/19,2,31,348,80,3,1,1,1,Condominium
32987823,Endless Sunsets In Spacious Clifton Apartment,29426065,Josh,Cape Town,Ward 54,-33.94108,18.37959,Entire home/apt,1301,2,4,4/9/19,3.64,31,89,90,2,1,1,1,Apartment
32988608,Dreamy City Views I Spacious Modern Apartment,29426065,Josh,Cape Town,Ward 115,-33.92726,18.44615,Entire home/apt,699,1,2,3/30/19,1.82,31,356,90,3,1,1,1,Apartment
32989004,The Grey Boutique Hotel - Room 3,244686119,Lisa,Cape Town,Ward 115,-33.91649,18.41608,Private room,2503,1,0,,,7,364,,2,1,1,1,Boutique hotel
32989620,The Grey Boutique Hotel - Room 6,244686119,Lisa,Cape Town,Ward 115,-33.91672,18.41771,Private room,2042,1,0,,,7,364,,2,1,1,1,Boutique hotel
32989695,Tranquil private room in Melkbosstrand apartment,226026217,Nadine,Cape Town,Ward 23,-33.72368,18.45082,Private room,448,1,0,,,1,90,,2,1,1,1,Apartment
32990348,The Grey Boutique Hotel - Room 8,244686119,Lisa,Cape Town,Ward 115,-33.91578,18.41595,Private room,1650,1,0,,,7,364,,2,1,1,1,Boutique hotel
32990980,The Grey Boutique Hotel - Room 9,244686119,Lisa,Cape Town,Ward 115,-33.91587,18.41726,Private room,1650,1,0,,,7,364,,2,1,1,1,Boutique hotel
32995579,Urban Chic WEX1 Mountain views Pool entertainment,54575074,Jonathan,Cape Town,Ward 115,-33.92693,18.4451,Entire home/apt,741,2,2,4/5/19,2,66,279,100,5,2,2,2,Condominium
32996076,Higgovale Studio near City+Beaches+Mountain close,54575074,Jonathan,Cape Town,Ward 77,-33.93967,18.4006,Entire home/apt,685,2,3,3/29/19,2.81,66,309,73,2,1,,1,Condominium
32996429,Ocean views. Beach front 4 sleeper Great Location,63202371,Scott,Cape Town,Ward 54,-33.9228,18.3778,Entire home/apt,1105,2,2,3/29/19,2,62,229,90,4,1,1,1,Condominium
32996900,Modern and tranquil guest studio near vineyards,101455437,Annette,Cape Town,Ward 73,-34.03134,18.46069,Entire home/apt,503,1,0,,,1,362,,2,1,1,1,Guest suite
32996930,"Spacious, Stylish Townhouse with city views+Pool",238438010,Cape Town,Cape Town,Ward 77,-33.93494,18.42427,Entire home/apt,1384,2,0,,,8,257,,7,2,3,4,Townhouse
32998244,Table mountain views from spacious loft apartment,16077349,Jessica,Cape Town,Ward 77,-33.93014,18.406,Entire home/apt,797,150,0,,,1,197,,3,2,2,2,Apartment
33001546,Modern. Funky. Bright. & Views for days!,62896430,Seth,Cape Town,Ward 54,-33.91403,18.39495,Entire home/apt,755,2,0,,,1,0,,2,1,1,1,Apartment
33001969,"Reach for the Sky, Room in Guesthouse, Room only",22286016,Maggie,Cape Town,Ward 54,-33.91405,18.39296,Private room,545,1,0,,,11,189,,2,1,1,1,House
33002955,"Room near Pool, Guesthouse in Sea Point, Room only",22286016,Maggie,Cape Town,Ward 54,-33.91474,18.39378,Private room,545,1,0,,,11,234,,2,1,1,1,House
33003279,"Shack-chic in Sea Point, Guesthouse Rm, room only",22286016,Maggie,Cape Town,Ward 54,-33.91228,18.39338,Private room,615,1,0,,,11,245,,2,1,1,1,House
33004420,Our family home called Eindelik.,247171935,Lee-Ann,Cape Town,Ward 61,-34.19504,18.44796,Entire home/apt,1706,2,0,,,2,341,,6,3,3,4,House
